tweet_id,text,location
ID_1108323641622708224,In Marowanyati Dam Murambinda overflowed raising water levels Mwerahari River People living along river advised high alert More impact Zimbabwe,Marowanyati Dam Murambinda Mwerahari River Zimbabwe
ID_722112876165464064,Death toll expected rise earthquake rocks Ecuador Death toll expected rise earthquake rocks,Ecuador
ID_910676890062434304,Yo would share info Donations Mexicos earthquake FD thanks bruh,Mexicos
ID_798501462645084160,cows New Zealand rescued stranded small island grass following powerful earthquake,New Zealand
ID_1111468160341954560,The one omaha even donated flood victims sides river Nebraska Iowa,Iowa Nebraska omaha
ID_797792590842253312,RT Tsunami Warning Issued After Powerful Magnitude Quake Strikes New Zealand,New Zealand
ID_1061296405673848832,People sleeping tents degrees Im breaking news coverage Chico California miles away Paradise Camp Fire killed destroyed structures many homes destructive fire California history,California
ID_1022221069644701696,killed injured wildfires Greece authorities ask EU help RT World News,Greece
ID_729172197512642560,RT The Canadian Red Cross says million donated far assist Fort McMurray wildfire evacuees,McMurray
ID_1036964655158239232,Truck Drivers driving trucks day night deliver essential relief materials like food vegetables clothes medicines people Kerala facing flood situation last days,Kerala
ID_910627471929872384,I leave everyone thinks earthquake happened Mexico big deal More people died I lucky,Mexico
ID_1041602529421926400,RT Video Major flooding Wilmington North Carolina result Hurricane Florence,North Carolina Wilmington
ID_910681535572885504,Spanish show Jugones emphasize great immediate response society help victims earthquake Mexico,Mexico
ID_771481180856160256,Nz brothers sisters earthquake tsunami warning followed Shit lets give beach pass today,Nz
ID_912139620636332032,RT One San Juans touristic neighborhoods still flooded days,San Juans
ID_903059004477276160,A chemical plant Crosby TX could explode amid flooding,Crosby TX
ID_783672610445864960,Haiti Lutheran World Relief Responds Immediate Needs Haitians Affected Hurricane Matthew,Haiti
ID_798435328914694144,agree fantastic week helping New Zealanders seeunderstandcomprehend damage,New Zealanders
ID_783985895493865472,RT AM ET Hurricane Matthew kills Haiti States Emergency declared Florida Georgia Car,Florida Georgia Haiti
ID_901762503314636800,Hurricane Harvey tropical storm drenches Texas devastating coast,Texas
ID_901671671731560448,A second person killed Saturday Harvey powerful storm hit Texas years roared inland knocking p,Texas
ID_721877495826485248,need help national police Ecuador PA support necessary,Ecuador
