tweet_id,text,location
ID_914534158642245632,Albertans organizing Mexico earthquake relief overwhelmed support cdnpoli,Mexico
ID_721623845229223936,RT Ecuador Earthquake Manabi Citizens fireworkers try rescue trapped ppl rubble Umia Hotel,Ecuador Manabi
ID_870237860821164032,Visiting Chinese navy fleet donates relief materials floodstricken Sri Lanka Photos cn,Sri Lanka
ID_1001191374161629184,RT Army National Guardsman Eddison Hermond missing amid Maryland floods,Maryland
ID_1108352212609232896,Now President wants oversee distribution food aid donated Zimbabweans To political tool Why victims CycloneIdai sleep another day without getting food thats already area Are going politicize,Zimbabweans
ID_1168176804743585792,It important make plan keep loved ones safe due challenges one might face time For tips prepare natural disaster emergency download DDRC Patient Preparedness Plan HurricaneDorian,
ID_1065533022072647680,Read entire thread Please help I know Im losing home fires California financial situation dire I family around Christmas isnt going happen I need help I get C,California
ID_798084239480614912,EQNZ reality setting community kiakaha PM John Key sees Kaikouras widespread destruction air,Kaikouras
ID_910679808018751488,help victims deadly earthquake donating,
ID_1110840701376479232,The Mosaic Company announces contribution support Nebraska Iowa Disaster Relief NebraskaStrong Learn,Iowa Nebraska
ID_722080167414362112,UPDATE Cuba sends doctors aid workers Ecuador,Cuba Ecuador
ID_721793765342633984,Ecuador Donations EcuadorEarthquake MMM Assange,Ecuador
ID_1108880355015249920,Zimbabwe Govt steps efforts assist cyclone victims zimbonexus CycloneIdai CycloneIdaiZW,Zimbabwe
ID_722147308851347456,RT At least killed powerful magnitude earthquake Prayers go people Ecuador FA,Ecuador
ID_1022037516285878272,RT Greece wildfires Death toll rises biblical disaster rescuers search charred homesk,Greece
ID_1033307346250780672,Among major crops paddy banana worst hit ha crop damaged Keralafloods,
ID_769032627051438080,Emergency workers many volunteers bring basic supplies tent camp newly homeless ItalyEarthquake CBC,
ID_721812893478596608,Dave actually help us mean lot,
ID_1041939690335739904,Click support Hurricane Florence Relief JaxNC organized Lia Leigh,Florence NC
ID_728811967578710016,Boys reunite parents separated wildfire evacuation,
ID_914699007137603584,DSTRDamage alexsandra Residents look flooded houses,
ID_1112340099939876864,West Michigan family heads Nebraska flood relief,Michigan Nebraska
ID_902908321589551104,Harvey victims need help immediately Lets help orgs mobilize TW,
ID_1039867442925907968,We cant emphasize enough important heed evacuation orders Your life loved ones depends whether agree emergency management officials caewx scwx gawx HurricaneFlorence,
ID_1176513301213253632,RT Number deaths climbed injured Let us pray number climb earthquake,
ID_783840556510097408,Hurricane Matthew devastates areas Haiti Cuba heads towards Bahamas JM,Bahamas Cuba Haiti
ID_1064431204206870528,Searchers combing areas affected California wildfires rescued hundreds animals including dogs cats horses donkeys ducks tortoise,California
ID_914326653416873984,Dear Can please share donate DMexico needs help S EarthquakeMexico,
ID_722084645878304768,Donate help important If UK donate OXFAM Ecuador UK Donate,Ecuador UK
ID_903763683758620672,Nearly Houston officers lose homes Harvey Harvey HarveyFlood HoustonFlood HoustonStrong foxdc,Houston
ID_1065021065074749440,Live Camp Out Cause Fire ready ready donations help Abrahams Tent Holiday Season,
ID_1021751308775239680,Our teams ground Greece wildfires killed least people Follow latest,Greece
ID_1061845132335558656,California seeks disaster aid wildfire death toll mounts via,California
ID_1063196550321459200,PSA MANDATORY EVACUATION FOR THE WHOLE STATE OF CALIFORNIA,CALIFORNIA
ID_721585757773635584,Ecuador quake death toll rises QUITO Ecuador Ecuadors strongest earthquake decades magnitude tremor struck,Ecuador QUITO
ID_1032074907469918208,But real heroes rescue efforts fishermen came districts boats loaded truck They could reach places wherein even armynavy could reach They faced tsunami knew feels calamity KeralaFlood,
ID_1065327947752644608,RT Im enjoying every SN sold Saucer goes California Fire Relief,California
ID_769496027170758656,RT Italian authorities say number people killed earthquake risen bodies continue recovered,Italian
ID_1110379617771245568,Goods arrived Battle Creekthanks much Frenchman Valley Coop generous assistance Farmer owned cooperatives working togetherit doesnt get better,
ID_1001462070267834368,Flash flooding Maryland causes serious damage READ MORE,Maryland
ID_913017849370857472,Meet Frida labrador saved lives looking Mexico earthquake survivors,Mexico
ID_797803791257137152,Earthquake Mag miles SSE BlenheimNew Zealand Gap Sig RMS Depth miles ALERT GREEN BREAKING NewZealand,Blenheim New Zealand NewZealand
ID_721646450141212672,RT Massive earthquake hit Ecuador dead number expected rise Latest AM http,Ecuador
ID_732022524024758272,RT Beautiful afternoon joining voices raise money Red CrossFort Mac wildfire relief Thanks Mayor fo,
ID_798026505041285120,Want help Purchase virtual GuideBiscuits donate actual biscuits support families need eqnz,
ID_728640877963423744,Amazing numberthe Red Cross raised million FortMcMurray,FortMcMurray
