tweet_id,text,location
ID_914534158642245632,albertan organize Mexico earthquake relief overwhelmed support cdnpoli,Mexico
ID_721623845229223936,RT Ecuador Earthquake Manabi Citizens fireworker try rescue trap ppl rubble Umia Hotel,Ecuador Manabi
ID_870237860821164032,visit chinese navy fleet donate relief material floodstricken Sri Lanka Photos cn,Lanka Sri
ID_1001191374161629184,RT Army National Guardsman Eddison Hermond miss amid Maryland flood,Maryland
ID_1108352212609232896,now President want oversee distribution food aid donate Zimbabweans to political tool why victims CycloneIdai sleep another day without get food that s already area be go politicize,Zimbabweans
ID_1168176804743585792,it important make plan keep love one safe due challenge one might face time for tip prepare natural disaster emergency download DDRC Patient Preparedness Plan HurricaneDorian,
ID_1065533022072647680,read entire thread please help I know I m lose home fire California financial situation dire I family around Christmas be not go happen I need help I get c,California
ID_798084239480614912,eqnz reality set community kiakaha PM John Key see Kaikouras widespread destruction air,Kaikouras
ID_910679808018751488,help victim deadly earthquake donate,
ID_1110840701376479232,the Mosaic Company announce contribution support Nebraska Iowa Disaster Relief NebraskaStrong Learn,Iowa Nebraska
ID_722080167414362112,update Cuba send doctor aid worker ecuador,Cuba Ecuador ecuador
ID_721793765342633984,Ecuador donation EcuadorEarthquake MMM Assange,Ecuador
ID_1108880355015249920,Zimbabwe Govt step effort assist cyclone victim zimbonexus CycloneIdai CycloneIdaiZW,Zimbabwe
ID_722147308851347456,RT at least kill powerful magnitude earthquake prayer go people Ecuador FA,Ecuador
ID_1022037516285878272,RT Greece wildfire death toll rise biblical disaster rescuer search charred homesk,Greece RT
ID_1033307346250780672,among major crop paddy banana bad hit ha crop damage keralaflood,
ID_769032627051438080,emergency worker many volunteer bring basic supply tent camp newly homeless ItalyEarthquake CBC,
ID_721812893478596608,Dave actually help we mean lot,
ID_1041939690335739904,click support Hurricane Florence Relief JaxNC organize Lia Leigh,Florence NC
ID_728811967578710016,boy reunite parent separate wildfire evacuation,
ID_914699007137603584,dstrdamage alexsandra resident look flood house,
ID_1112340099939876864,West Michigan family head Nebraska flood relief,Michigan Nebraska West Michigan
ID_902908321589551104,Harvey victim need help immediately lets help org mobilize TW,
ID_1039867442925907968,we can not emphasize enough important heed evacuation order your life love one depend whether agree emergency management official caewx scwx gawx HurricaneFlorence,
ID_1176513301213253632,RT Number death climb injure let we pray number climb earthquake,
ID_783840556510097408,Hurricane Matthew devastate area Haiti Cuba head towards Bahamas JM,Bahamas Cuba Haiti
ID_1064431204206870528,searcher comb area affect California wildfires rescue hundred animal include dog cat horse donkeys duck tortoise,California
ID_914326653416873984,Dear can please share donate DMexico need help S EarthquakeMexico,
ID_722084645878304768,donate help important if UK donate oxfam Ecuador UK donate,Ecuador UK
ID_903763683758620672,nearly Houston officer lose home Harvey Harvey HarveyFlood HoustonFlood HoustonStrong foxdc,Houston
ID_1065021065074749440,live Camp Out Cause Fire ready ready donation help Abrahams Tent Holiday Season,
ID_1021751308775239680,our team grind Greece wildfires kill least people follow late,Greece
ID_1061845132335558656,California seek disaster aid wildfire death toll mount via,California
ID_1063196550321459200,PSA MANDATORY evacuation for the whole state of CALIFORNIA,CALIFORNIA
ID_721585757773635584,Ecuador quake death toll rise QUITO Ecuador Ecuadors strong earthquake decade magnitude tremor strike,Ecuador QUITO
ID_1032074907469918208,but real hero rescue effort fisherman come district boat load truck they could reach place wherein even armynavy could reach they face tsunami know feel calamity KeralaFlood,
ID_1065327947752644608,RT I m enjoy every SN sell Saucer go California Fire Relief,California RT
ID_769496027170758656,RT italian authority say number people kill earthquake rise body continue recover,Italian RT
ID_1110379617771245568,good arrive Battle Creekthanks much Frenchman Valley Coop generous assistance Farmer own cooperative work togetherit do not get well,
ID_1001462070267834368,flash flooding Maryland cause serious damage read MORE,Maryland
ID_913017849370857472,meet Frida labrador save life look Mexico earthquake survivor,Mexico
ID_797803791257137152,earthquake Mag mile SSE BlenheimNew Zealand Gap Sig RMS depth mile alert green breaking NewZealand,Blenheim New NewZealand Zealand
ID_721646450141212672,RT Massive earthquake hit Ecuador dead number expect rise late AM http,Ecuador
ID_732022524024758272,RT beautiful afternoon join voice raise money Red CrossFort Mac wildfire relief thanks Mayor fo,RT
ID_798026505041285120,want help purchase virtual GuideBiscuits donate actual biscuit support family need eqnz,
ID_728640877963423744,amazing numberthe Red Cross raise million fortmcmurray,FortMcMurray
ID_912350865415114752,in LA Pico Arena help victim PR US Mexico hurricane earthquake TodosUnidos,Arena L.A. Mexico P.R. Pico U.S. US
ID_1030933451317436416,keralaflood urgent thiruvalla people include pregnant woman surround water no drinking water toilet facility last day lack medicine contact gps coordinate verify pm,
ID_1112697386806185984,Student Council organize Food Drive Nebraska City Food Pantry student bring donation school April GoKnights,City Nebraska
ID_1065203592905187328,Denver News Camp Fire containment grow percent death toll rise,Denver
ID_1022126111814295552,many people save firefighter extinguish fire if they re victim the picture be not Greece thing like matter tv do not show we,Greece
ID_1042009714480111616,HAPPENINGTODAY the survey damage Virginia determine many tornado touch Monday the tornado likely spark remnant HurricaneFlorence FlorenceHurricane Florence,Florence Virginia
ID_1168204857422909440,please safe Hurricane Dorian for affected u please donate trust rescuerelief organization charity help people try connect love one spread awareness,
ID_797941469273145344,RT I m head New Zealand help earthquake response my NZ eqnz n,New New Zealand RT Zealand
ID_783424481654149120,nine people dead Hurricane Matthew make landfall Hurricane Matthew HurricaneMatthew Haiti,Haiti
ID_721748920381140992,RT EcuadorEarthquake first image Pedernales Dead report via,
ID_797844539314610176,RT Road damage landslips bridge damage damage residential building collapse building eqnz,
